Stage 1:
X[28]: Real = 0xFFFFA487, Imag = 0x00000CFF
X[29]: Real = 0xFFFFF7E6, Imag = 0x00003BF6
X[30]: Real = 0x0000B8D1, Imag = 0x00004F73
X[31]: Real = 0xFFFEFEF0, Imag = 0xFFFFB4FC

Stage 5:
X[ 0]: Real = 0x00014D00, Imag = 0x00000000
X[ 1]: Real = 0xFFFFBB00, Imag = 0x00000000
X[ 2]: Real = 0xFFFFAA00, Imag = 0x00003B00
X[ 3]: Real = 0xFFFFAA00, Imag = 0xFFFFC500
X[ 4]: Real = 0xFFFF2AFF, Imag = 0x0000B41C
X[ 5]: Real = 0xFFFFB701, Imag = 0xFFFFE9E4
X[ 6]: Real = 0xFFFFB700, Imag = 0x0000161D
X[ 7]: Real = 0xFFFF2B00, Imag = 0xFFFF4BE3
X[ 8]: Real = 0x000D1A07, Imag = 0xFFF7D3AE
X[ 9]: Real = 0xFFFFB7FF, Imag = 0xFFFFF506
X[10]: Real = 0xFFFFB2F7, Imag = 0x000025C6
X[11]: Real = 0xFFFF8B03, Imag = 0xFFFFA586
X[12]: Real = 0xFFFF8B06, Imag = 0x00005A7D
X[13]: Real = 0xFFFFB2F2, Imag = 0xFFFFDA39
X[14]: Real = 0xFFFFB806, Imag = 0x00000B01
X[15]: Real = 0x000D1A02, Imag = 0x00082C49
X[16]: Real = 0x0001B9DD, Imag = 0xFFFF6583
X[17]: Real = 0xFFFFB7C3, Imag = 0xFFFFFB91
X[18]: Real = 0xFFFFACA1, Imag = 0x00002EFD
X[19]: Real = 0xFFFF9C6B, Imag = 0xFFFFB707
X[20]: Real = 0xFFFF6ED9, Imag = 0x00007A7E
X[21]: Real = 0xFFFFB179, Imag = 0xFFFFE1D0
X[22]: Real = 0xFFFFB892, Imag = 0x00000E7B
X[23]: Real = 0xFFFE3C70, Imag = 0xFFFE9E1F
X[24]: Real = 0xFFFE3C6C, Imag = 0x000161E2
X[25]: Real = 0xFFFFB894, Imag = 0xFFFFF186
X[26]: Real = 0xFFFFB178, Imag = 0x00001E32
X[27]: Real = 0xFFFF6ED8, Imag = 0xFFFF8582
X[28]: Real = 0xFFFF9C6D, Imag = 0x000048F5
X[29]: Real = 0xFFFFACA1, Imag = 0xFFFFD109
X[30]: Real = 0xFFFFB7C1, Imag = 0x0000046F
X[31]: Real = 0x0001B9E1, Imag = 0x00009A77
